index,Player,Role,Amount,Team,Year,Player Origin,Player Age,Country,y14,y15,y16,y17,y18,y19,y20,y21,y22
594,Sherfane Rutherford,All-Rounder,10000000,Royal Challengers Bangalore,2022.0,Overseas,24.0,4,0,0,0,0,0,0,0,0,1
597,Shimron Hetmyer,Batsman,42000000,Royal Challengers Bangalore,2019.0,Overseas,23.0,4,0,0,0,0,0,1,0,0,0
598,Shimron Hetmyer,Batsman,77500000,Delhi Capitals,2020.0,Overseas,24.0,4,0,0,0,0,0,0,1,0,0
626,Tanmay Mishra,Batsman,1000000,Royal Challengers Bangalore,2014.0,Indian,28.0,2,1,0,0,0,0,0,0,0,0
627,Thisara Perera,All-Rounder,50625000,Sunrisers Hyderabad,2013.0,Overseas,24.0,2,0,0,0,0,0,0,0,0,0
628,Thisara Perera,All-Rounder,16000000,Kings XI Punjab,2014.0,Overseas,25.0,2,1,0,0,0,0,0,0,0,0
629,Thisara Perera,All-Rounder,10000000,Rising Pune Supergiant,2016.0,Overseas,27.0,2,0,0,1,0,0,0,0,0,0
630,Tim David,All-Rounder,82500000,Mumbai Indians,2022.0,Overseas,26.0,5,0,0,0,0,0,0,0,0,1
631,Tim Seifert,Wicket Keeper,5000000,Delhi Capitals,2022.0,Overseas,28.0,4,0,0,0,0,0,0,0,0,1
632,Tim Southee,Bowler,12000000,Rajasthan Royals,2014.0,Overseas,26.0,4,1,0,0,0,0,0,0,0,0
633,Tim Southee,Bowler,25000000,Mumbai Indians,2016.0,Overseas,28.0,4,0,0,1,0,0,0,0,0,0
634,Tim Southee,Bowler,10000000,Royal Challengers Bangalore,2018.0,Overseas,30.0,4,0,0,0,0,1,0,0,0,0
635,Tom Banton,Batsman,10000000,Kolkata Knight Riders,2020.0,Overseas,22.0,4.5,0,0,0,0,0,0,1,0,0
636,Tom Curran,All-Rounder,10000000,Rajasthan Royals,2020.0,Overseas,25.0,4.5,0,0,0,0,0,0,1,0,0
637,Tom Curran,All-Rounder,52500000,Delhi Capitals,2021.0,Overseas,26.0,4.5,0,0,0,0,0,0,0,1,0
638,Travis Head,Batsman,3000000,Delhi Daredevils,2015.0,Overseas,22.0,5,0,1,0,0,0,0,0,0,0
639,Travis Head,Batsman,5000000,Royal Challengers Bangalore,2016.0,Overseas,23.0,5,0,0,1,0,0,0,0,0,0
640,Trent Boult,Bowler,38000000,Sunrisers Hyderabad,2015.0,Overseas,26.0,4,0,1,0,0,0,0,0,0,0
641,Trent Boult,Bowler,50000000,Kolkata Knight Riders,2017.0,Overseas,28.0,4,0,0,0,1,0,0,0,0,0
642,Trent Boult,Bowler,22000000,Delhi Daredevils,2018.0,Overseas,29.0,4,0,0,0,0,1,0,0,0,0
643,Trent Boult,Bowler,80000000,Rajasthan Royals,2022.0,Overseas,33.0,4,0,0,0,0,0,0,0,0,1
646,Tymal Mills,Bowler,120000000,Royal Challengers Bangalore,2017.0,Overseas,25.0,4.5,0,0,0,1,0,0,0,0,0
647,Tymal Mills,Bowler,15000000,Mumbai Indians,2022.0,Overseas,30.0,4.5,0,0,0,0,0,0,0,0,1
667,Wanindu Hasaranga,All-Rounder,107500000,Royal Challengers Bangalore,2022.0,Overseas,25.0,2,0,0,0,0,0,0,0,0,1
669,Wayne Parnell,Bowler,10000000,Delhi Daredevils,2014.0,Overseas,25.0,3.5,1,0,0,0,0,0,0,0,0
