Player,Role,Amount,Team,Year,Player Origin,Player Age,Country,y14,y15,y16,y17,y18,y19,y20,y21,y22,fcode
Jason Holder,All-Rounder,7000000,Kolkata Knight Riders,2016.0,Overseas,25.0,4.0,0,0,1,0,0,0,0,0,0,75
Jason Holder,All-Rounder,87500000,Lucknow Super Giants,2022.0,Overseas,31.0,4.0,0,0,0,0,0,0,0,0,1,75
Jason Roy,Batsman,10000000,Gujarat Lions,2017.0,Overseas,27.0,4.5,0,0,0,1,0,0,0,0,0,76
Jason Roy,Batsman,15000000,Delhi Daredevils,2018.0,Overseas,28.0,4.5,0,0,0,0,1,0,0,0,0,76
Jason Roy,Batsman,15000000,Delhi Capitals,2020.0,Overseas,30.0,4.5,0,0,0,0,0,0,1,0,0,76
Jason Roy,Batsman,20000000,Gujarat Titans,2022.0,Overseas,32.0,4.5,0,0,0,0,0,0,0,0,1,76
Jean-Paul Duminy,Batsman,22000000,Delhi Daredevils,2014.0,Overseas,30.0,3.5,1,0,0,0,0,0,0,0,0,77
Jean-Paul Duminy,All-Rounder,10000000,Mumbai Indians,2018.0,Overseas,34.0,3.5,0,0,0,0,1,0,0,0,0,77
Jeevan Mendis,All-Rounder,3750000,Delhi Daredevils,2013.0,Overseas,30.0,2.0,0,0,0,0,0,0,0,0,0,78
Jesse Ryder,All-Rounder,19500000,Delhi Daredevils,2013.0,Overseas,29.0,4.0,0,0,0,0,0,0,0,0,0,79
Jhye Richardson,Bowler,140000000,Punjab Kings,2021.0,Overseas,25.0,5.0,0,0,0,0,0,0,0,1,0,80
Joe Denly,Batsman,10000000,Kolkata Knight Riders,2019.0,Overseas,33.0,4.5,0,0,0,0,0,1,0,0,0,81
Joel Paris,Bowler,3000000,Delhi Daredevils,2016.0,Overseas,24.0,5.0,0,0,1,0,0,0,0,0,0,82
Jofra Archer,All-Rounder,72000000,Rajasthan Royals,2018.0,Overseas,23.0,4.5,0,0,0,0,1,0,0,0,0,83
Jofra Archer,All-Rounder,80000000,Mumbai Indians,2022.0,Overseas,27.0,4.5,0,0,0,0,0,0,0,0,1,83
Johan Botha,All-Rounder,33750000,Delhi Daredevils,2013.0,Overseas,31.0,3.5,0,0,0,0,0,0,0,0,0,84
John Hastings,All-Rounder,5000000,Chennai Super Kings,2014.0,Overseas,29.0,5.0,1,0,0,0,0,0,0,0,0,85
John Hastings,Bowler,13000000,Kolkata Knight Riders,2016.0,Overseas,31.0,5.0,0,0,1,0,0,0,0,0,0,85
Jonny Bairstow,Wicket Keeper,22000000,Sunrisers Hyderabad,2019.0,Overseas,30.0,4.5,0,0,0,0,0,1,0,0,0,86
Jonny Bairstow,Wicket Keeper,67500000,Punjab Kings,2022.0,Overseas,33.0,4.5,0,0,0,0,0,0,0,0,1,86
Jos Buttler,Wicket Keeper,38000000,Mumbai Indians,2016.0,Overseas,26.0,4.5,0,0,1,0,0,0,0,0,0,87
Jos Buttler,Wicket Keeper,44000000,Rajasthan Royals,2018.0,Overseas,28.0,4.5,0,0,0,0,1,0,0,0,0,87
Josh Hazlewood,Bowler,5000000,Mumbai Indians,2014.0,Overseas,23.0,5.0,1,0,0,0,0,0,0,0,0,88
Josh Hazlewood,Bowler,20000000,Chennai Super Kings,2020.0,Overseas,29.0,5.0,0,0,0,0,0,0,1,0,0,88
